id;imie;nazwisko;miasto;ilosc;kwota;wspolczynnik
1435;Andrzej;Mazur;Katowice;97;2741.00;0.679
1436;Paweł;Mazur;Lublin;114;4292.30;1.000
1437;Marcin;Dąbrowski;Katowice;433;2573.78;0.220
1438;Marcin;Kozłowski;Kraków;232;848.06;1.000
1439;Ewa;Dąbrowski;Kraków;433;574.32;0.899
1440;Brak danych;Kwiatkowski;Poznań;387;2766.46;0.915
1441;Tomasz;Mazur;Łódź;293;2991.21;0.366
1442;Piotr;Kowalczyk;Poznań;394;1528.29;0.661
1443;Piotr;Kowalczyk;Warszawa;252;3129.18;0.848
1444;Piotr;Kowalczyk;Lublin;445;4090.95;1.000
1445;Maria;Dąbrowski;Gdańsk;413;735.65;0.407
1446;Barbara;Wiśniewski;Gdańsk;489;1914.04;1.000
1447;Jan;Nowak;Lublin;12;587.25;1.000
1448;Katarzyna;Nowak;Poznań;269;1206.08;0.828
1449;Marcin;Dąbrowski;Wrocław;21;470.24;0.770
1450;Joanna;Mazur;Warszawa;93;2476.15;0.925
1451;Jan;Mazur;Lublin;124;2702.51;0.601
1452;Krzysztof;Kozłowski;Warszawa;240;1290.28;0.711
1453;Michał;Kowalski;Lublin;423;2109.13;1.000
1454;Michał;Kwiatkowski;Poznań;378;68.28;0.182
1455;Marcin;Wójcik;Wrocław;291;970.77;0.345
1456;Joanna;Kozłowski;Kraków;-450;4382.85;0.228
1457;Joanna;Woźniak;Kraków;230;4210.98;0.140
1458;Marcin;Mazur;Gdańsk;77;59.41;0.117
1459;Michał;Woźniak;Lublin;291;1750.69;0.403
1460;Katarzyna;Kwiatkowski;Gdańsk;485;2097.31;0.755
1461;Maria;Wójcik;Kraków;144;3910.73;1.000
1462;Ewa;Kamiński;Katowice;253;1226.26;0.890
1463;Magdalena;Wójcik;Warszawa;326;4757.59;0.467
1464;Tomasz;Kwiatkowski;Gdańsk;491;2648.15;0.305
1465;Joanna;Wójcik;Katowice;391;3775.88;0.679
1466;Paweł;Kozłowski;Warszawa;109;663.86;0.743
1467;Anna;Nowak;Łódź;366;684.33;0.709
1468;Anna;Kwiatkowski;Poznań;303;1095.21;0.992
1469;Jan;Szymański;Kraków;389;2112.61;0.116
1470;Joanna;Lewandowski;Katowice;99;4970.33;0.548
1471;Katarzyna;Mazur;Wrocław;252;1814.85;1.000
1472;Maria;Lewandowski;Wrocław;349;2462.00;0.735
1473;Michał;Szymański;Katowice;54;3487.02;0.600
1474;Katarzyna;Woźniak;Warszawa;99;1372.84;0.614
1475;Katarzyna;Wiśniewski;Poznań;173;2999.55;0.561
1476;Agnieszka;Nowak;Poznań;53;985.35;0.901
1477;Agnieszka;Mazur;Warszawa;248;2112.31;0.354
1478;Andrzej;Wójcik;Lublin;49;1435.38;0.192
1479;Ewa;Kowalski;Łódź;106;3482.21;1.000
1480;Magdalena;Dąbrowski;Katowice;252;261.66;1.000
1481;Jan;Kowalski;Katowice;72;3093.13;0.348
1482;Jan;Kwiatkowski;Warszawa;130;4796.42;0.911
1483;Ewa;Mazur;Gdańsk;53;1379.49;0.578
1484;Anna;Dąbrowski;Wrocław;306;1794.11;0.312
1485;Magdalena;Zieliński;Katowice;5;2799.69;0.471
1486;Krzysztof;Kamiński;Gdańsk;131;2261.95;0.705
1487;Joanna;Kamiński;Warszawa;153;3840.89;1.000
1488;Marcin;Kowalski;Łódź;398;781.55;0.745
1489;Piotr;Kozłowski;Gdańsk;251;4559.96;0.708
1490;Krzysztof;Dąbrowski;Lublin;270;2604.61;0.242
1491;Piotr;Lewandowski;Katowice;73;655.02;0.126
1492;Krzysztof;Szymański;Łódź;496;2632.34;0.105
1493;Anna;Zieliński;Kraków;336;2774.00;0.568
1494;Agnieszka;Kwiatkowski;Łódź;60;778.16;0.266
1495;Krzysztof;Lewandowski;Lublin;269;1116.71;0.987
1496;Paweł;Szymański;Warszawa;441;1716.98;0.940
1497;Paweł;Lewandowski;Poznań;190;825.60;0.994
1498;Michał;Kwiatkowski;Poznań;202;1968.68;1.000
1499;Tomasz;Kamiński;Wrocław;375;766.21;1.000
1500;Krzysztof;Lewandowski;Kraków;106;2939.49;0.743
1501;Jan;Nowak;Wrocław;483;3251.33;0.344
1502;Ewa;Wiśniewski;Poznań;353;1602.92;0.297
1503;Krzysztof;Woźniak;Kraków;337;3536.92;0.853
1504;Magdalena;Lewandowski;Gdańsk;118;2461.56;0.959
1505;Ewa;Kwiatkowski;Łódź;301;2278.70;0.548
1506;Joanna;Nowak;Wrocław;355;1075.06;0.564
1507;Magdalena;Kowalczyk;Lublin;244;1474.36;0.909
1508;Joanna;Woźniak;Łódź;67;1833.98;0.630
1509;Andrzej;Kwiatkowski;Poznań;348;140.61;0.257
1510;Magdalena;Zieliński;Łódź;222;1165.28;0.748
1511;Piotr;Lewandowski;Łódź;313;766.10;0.129
1512;Magdalena;Wiśniewski;Łódź;462;4990.56;0.158
1513;Piotr;Kozłowski;Poznań;56;3686.54;1.000
1514;Paweł;Kamiński;Warszawa;376;477.79;1.000
1515;Magdalena;Kamiński;Gdańsk;416;4045.28;0.650
1516;Agnieszka;Wójcik;Lublin;241;1560.87;1.000
1517;Ewa;Wójcik;Kraków;252;2116.16;1.000
1518;Joanna;Mazur;Gdańsk;471;4820.49;1.000
1519;Michał;Wiśniewski;Warszawa;270;1557.20;1.000
1520;Tomasz;Kowalski;Poznań;478;1456.71;1.000
1521;Jan;Dąbrowski;Gdańsk;411;465.70;1.000
1522;Ewa;Mazur;Łódź;254;1575.21;0.898
1523;Ewa;Kamiński;Wrocław;349;3371.62;0.628
1524;Maria;Lewandowski;Gdańsk;458;3027.29;0.147
1525;Magdalena;Szymański;Kraków;110;4988.27;1.000
1526;Anna;Mazur;Katowice;317;598.43;1.000
1527;Tomasz;Kozłowski;Wrocław;237;2577.37;0.610
1528;Ewa;Mazur;Katowice;250;3138.33;1.000
1529;Katarzyna;Wójcik;Warszawa;316;2990.94;0.888
1530;Paweł;Kowalczyk;Wrocław;429;3914.19;0.791
1531;Maria;Kowalczyk;Wrocław;159;4479.14;0.835
1532;Agnieszka;Kwiatkowski;Lublin;200;1958.40;1.000
1533;Agnieszka;Kamiński;Lublin;188;4609.25;0.315
1534;Marcin;Kwiatkowski;Warszawa;41;3955.08;0.883
1535;Magdalena;Mazur;Łódź;463;2501.18;0.406
1536;Krzysztof;Nowak;Katowice;2;3789.23;1.000
1537;Krzysztof;Wiśniewski;Warszawa;27;1632.36;0.468
1538;Joanna;Kozłowski;Wrocław;101;168.02;1.000
1539;Barbara;Dąbrowski;Lublin;270;4843.04;0.963
1540;Barbara;Kamiński;Wrocław;252;885.95;1.000
1541;Katarzyna;Lewandowski;Łódź;433;1077.69;0.373
1542;Maria;Kowalski;Kraków;138;1591.87;1.000
1543;Katarzyna;Zieliński;Poznań;191;385.23;0.543
1544;Tomasz;Kowalczyk;Warszawa;297;2495.44;0.247
1545;Anna;Kamiński;Gdańsk;141;4629.11;1.000
1546;Katarzyna;Lewandowski;Lublin;478;447.75;0.593
1547;Anna;Mazur;Katowice;-262;2529.47;1.000
1548;Michał;Kwiatkowski;Poznań;289;3399.54;1.000
1549;Joanna;Kamiński;Lublin;462;1058.11;0.597
1550;Marcin;Dąbrowski;Katowice;146;556.95;0.935
1551;Agnieszka;Nowak;Katowice;123;3235.79;1.000
1552;Agnieszka;Zieliński;Wrocław;476;1648.37;1.000
1553;Krzysztof;Lewandowski;Katowice;373;2306.55;1.000
1554;Piotr;Mazur;Lublin;252;4226.53;0.522
1555;Ewa;Woźniak;Warszawa;354;3176.78;0.657
1556;Ewa;Kozłowski;Poznań;129;1428.43;1.000
1557;Agnieszka;Zieliński;Gdańsk;486;2776.54;1.000
1558;Maria;Woźniak;Kraków;490;2354.89;1.000
1559;Barbara;Nowak;Gdańsk;275;4302.34;0.223
1560;Brak danych;Kwiatkowski;Poznań;252;270.45;1.000
1561;Jan;Wójcik;Wrocław;417;803.22;1.000
1562;Maria;Kozłowski;Wrocław;39;1672.70;0.329
1563;Michał;Wójcik;Warszawa;70;4282.96;1.000
1564;Paweł;Zieliński;Gdańsk;260;71.01;0.840
1565;Krzysztof;Kamiński;Kraków;3;763.14;0.661
1566;Katarzyna;Zieliński;Łódź;377;2578.03;1.000
1567;Piotr;Nowak;Łódź;492;4456.60;0.306
1568;Maria;Kamiński;Lublin;263;2451.79;0.286
1569;Anna;Kowalczyk;Kraków;131;1028.71;0.297
1570;Katarzyna;Kowalczyk;Wrocław;337;4872.99;1.000
1571;Barbara;Szymański;Kraków;188;1425.21;1.000
1572;Tomasz;Lewandowski;Poznań;323;4497.42;0.205
1573;Tomasz;Woźniak;Warszawa;187;4172.45;0.701
1574;Paweł;Szymański;Poznań;477;4795.46;0.877
1575;Maria;Kozłowski;Katowice;434;3443.51;0.548
1576;Marcin;Mazur;Kraków;35;1536.50;1.000
1577;Paweł;Kwiatkowski;Lublin;109;4977.63;1.000
1578;Barbara;Kowalski;Łódź;474;3039.46;1.000
1579;Paweł;Kowalski;Warszawa;154;3440.18;1.000
1580;Tomasz;Dąbrowski;Poznań;271;4730.79;1.000
1581;Maria;Kamiński;Łódź;157;4498.80;0.968
1582;Barbara;Zieliński;Katowice;156;3994.35;1.000
1583;Ewa;Woźniak;Poznań;384;2728.70;1.000
1584;Agnieszka;Kowalski;Lublin;78;3219.56;0.580
1585;Michał;Kowalski;Lublin;229;2532.77;0.262
1586;Piotr;Woźniak;Warszawa;60;3591.40;0.606
1587;Andrzej;Dąbrowski;Kraków;72;4542.81;1.000
1588;Magdalena;Zieliński;Lublin;260;1868.63;1.000
1589;Joanna;Nowak;Łódź;488;713.59;0.764
1590;Maria;Kamiński;Warszawa;224;4679.49;0.250
1591;Marcin;Wójcik;Lublin;252;2389.27;1.000
1592;Agnieszka;Mazur;Gdańsk;451;4305.41;0.925
1593;Barbara;Kowalski;Kraków;432;3903.37;1.000
1594;Michał;Zieliński;Katowice;217;415.50;1.000
1595;Paweł;Wójcik;Gdańsk;40;2476.15;0.587
1596;Marcin;Kwiatkowski;Gdańsk;303;680.63;1.000
1597;Tomasz;Lewandowski;Warszawa;29;3797.13;0.486
1598;Katarzyna;Szymański;Poznań;7;1684.42;0.616
1599;Paweł;Mazur;Gdańsk;93;4594.61;1.000
1600;Krzysztof;Wiśniewski;Brak danych;498;3082.82;1.000
1601;Jan;Kamiński;Katowice;271;4607.39;1.000
1602;Barbara;Kamiński;Lublin;213;4322.62;1.000
1603;Katarzyna;Kozłowski;Warszawa;376;3451.09;1.000
1604;Krzysztof;Kozłowski;Gdańsk;499;3682.94;0.999
1605;Joanna;Kowalczyk;Katowice;301;1316.40;1.000
1606;Tomasz;Wiśniewski;Wrocław;267;4291.68;1.000
1607;Katarzyna;Kowalczyk;Warszawa;412;2853.29;0.968
1608;Michał;Dąbrowski;Kraków;169;4705.45;1.000
1609;Joanna;Wiśniewski;Kraków;76;1894.04;1.000
1610;Piotr;Woźniak;Wrocław;181;4940.37;1.000
1611;Krzysztof;Mazur;Gdańsk;51;1270.97;0.935
1612;Maria;Woźniak;Warszawa;346;1914.01;0.668
1613;Andrzej;Zieliński;Kraków;424;4382.48;0.222
1614;Jan;Kamiński;Poznań;74;4072.50;0.667
1615;Agnieszka;Kwiatkowski;Warszawa;220;1086.77;1.000
1616;Tomasz;Kowalski;Poznań;452;4499.13;1.000
1617;Andrzej;Lewandowski;Łódź;302;3545.87;0.499
1618;Joanna;Zieliński;Wrocław;135;3741.30;0.806
1619;Anna;Wiśniewski;Gdańsk;119;4246.86;0.757
1620;Anna;Kamiński;Kraków;361;4375.97;0.192
1621;Agnieszka;Nowak;Wrocław;416;3133.29;1.000
1622;Paweł;Mazur;Warszawa;103;379.56;1.000
1623;Joanna;Lewandowski;Katowice;290;3453.65;0.895
1624;Magdalena;Wiśniewski;Lublin;344;3459.36;1.000
1625;Andrzej;Szymański;Katowice;423;3201.76;0.561
1626;Piotr;Kowalczyk;Katowice;216;1352.84;1.000
1627;Ewa;Lewandowski;Lublin;176;4045.25;0.459
1628;Andrzej;Zieliński;Katowice;252;163.30;0.418
1629;Michał;Zieliński;Poznań;157;2010.49;0.847
1630;Anna;Kowalski;Łódź;54;2905.80;0.480
1631;Michał;Kozłowski;Katowice;226;864.55;1.000
1632;Piotr;Kowalski;Lublin;482;1123.23;0.494
1633;Joanna;Kozłowski;Katowice;52;522.77;0.230
1634;Krzysztof;Szymański;Gdańsk;228;1885.06;1.000
1635;Maria;Zieliński;Poznań;108;1795.48;1.000
1636;Barbara;Mazur;Lublin;21;4139.51;0.279
1637;Maria;Wójcik;Lublin;135;218.31;0.583
1638;Barbara;Lewandowski;Gdańsk;-121;4624.02;1.000
1639;Andrzej;Kamiński;Łódź;258;1834.10;1.000
1640;Joanna;Dąbrowski;Łódź;278;2232.40;1.000
1641;Joanna;Szymański;Łódź;194;1712.12;0.871
1642;Agnieszka;Kwiatkowski;Wrocław;317;676.01;0.227
1643;Anna;Kowalczyk;Lublin;270;3543.12;0.617
1644;Maria;Kwiatkowski;Warszawa;169;4777.26;1.000
1645;Barbara;Woźniak;Poznań;189;4446.61;1.000
1646;Andrzej;Lewandowski;Łódź;243;2007.24;0.451
1647;Joanna;Kowalczyk;Lublin;2;583.62;0.118
1648;Ewa;Zieliński;Katowice;16;4639.55;1.000
1649;Ewa;Mazur;Warszawa;165;3518.06;0.183
1650;Agnieszka;Kozłowski;Poznań;252;477.11;0.514
1651;Maria;Lewandowski;Poznań;110;4163.67;1.000
1652;Krzysztof;Kowalczyk;Katowice;408;3781.66;1.000
1653;Anna;Kwiatkowski;Katowice;55;4114.84;0.847
1654;Joanna;Kamiński;Katowice;306;944.11;1.000
1655;Andrzej;Dąbrowski;Warszawa;91;2031.08;1.000
1656;Tomasz;Kwiatkowski;Katowice;170;753.69;1.000
1657;Katarzyna;Wiśniewski;Warszawa;149;3617.26;0.257
1658;Anna;Kozłowski;Gdańsk;441;3604.07;0.630
1659;Maria;Kozłowski;Wrocław;423;4738.19;0.714
1660;Andrzej;Nowak;Łódź;171;3591.25;0.410
1661;Krzysztof;Nowak;Katowice;98;2205.22;0.380
1662;Piotr;Wiśniewski;Wrocław;63;2918.25;0.214
1663;Krzysztof;Szymański;Lublin;419;1933.50;1.000
1664;Agnieszka;Kowalczyk;Warszawa;361;3785.98;1.000
1665;Maria;Zieliński;Gdańsk;252;0.00;1.000
1666;Magdalena;Szymański;Lublin;332;2468.80;0.786
1667;Michał;Mazur;Poznań;223;4851.82;0.397
1668;Magdalena;Lewandowski;Wrocław;372;4645.25;0.811
1669;Joanna;Zieliński;Wrocław;422;3448.17;0.620
1670;Magdalena;Wiśniewski;Katowice;342;2206.58;1.000
1671;Agnieszka;Dąbrowski;Poznań;123;335.33;0.651
1672;Joanna;Kamiński;Łódź;240;4481.20;1.000
1673;Maria;Woźniak;Lublin;118;783.65;0.807
1674;Andrzej;Mazur;Łódź;494;2248.92;1.000
1675;Magdalena;Szymański;Warszawa;384;1680.95;0.981
1676;Barbara;Kamiński;Lublin;99;747.64;0.609
1677;Paweł;Kozłowski;Warszawa;394;2323.47;1.000
1678;Marcin;Kozłowski;Warszawa;284;636.95;1.000
1679;Anna;Kozłowski;Katowice;496;1589.66;0.363
1680;Brak danych;Kamiński;Lublin;394;1092.41;0.548
1681;Jan;Kozłowski;Gdańsk;380;2691.20;1.000
1682;Agnieszka;Lewandowski;Katowice;372;2831.75;1.000
1683;Agnieszka;Mazur;Wrocław;337;3571.52;0.495
1684;Anna;Kowalski;Wrocław;159;1543.21;0.876
1685;Katarzyna;Lewandowski;Kraków;119;4202.08;0.588
1686;Piotr;Mazur;Poznań;353;2951.94;0.304
1687;Agnieszka;Dąbrowski;Poznań;394;3335.54;0.294
1688;Katarzyna;Szymański;Katowice;119;3664.31;0.960
1689;Michał;Nowak;Wrocław;223;543.61;0.422
1690;Joanna;Zieliński;Wrocław;252;2453.50;0.302
1691;Agnieszka;Kowalski;Warszawa;314;1073.31;1.000
1692;Michał;Kowalczyk;Lublin;248;1072.59;0.122
1693;Paweł;Kamiński;Poznań;190;2003.02;0.410
1694;Piotr;Lewandowski;Poznań;469;4677.20;0.370
1695;Agnieszka;Wiśniewski;Lublin;117;3563.63;0.408
1696;Andrzej;Lewandowski;Warszawa;327;3880.35;0.358
1697;Katarzyna;Mazur;Lublin;30;1033.13;0.295
1698;Andrzej;Kamiński;Warszawa;22;1846.54;0.473
1699;Katarzyna;Nowak;Lublin;331;771.43;1.000
1700;Tomasz;Kamiński;Wrocław;81;4223.91;0.754
1701;Tomasz;Kowalski;Łódź;426;2187.43;1.000
1702;Paweł;Nowak;Łódź;252;4355.54;0.499
1703;Anna;Kwiatkowski;Łódź;92;4169.72;0.536
1704;Agnieszka;Szymański;Warszawa;274;3643.75;0.246
1705;Barbara;Kowalczyk;Poznań;29;3932.25;1.000
1706;Barbara;Mazur;Łódź;293;3518.62;1.000
1707;Piotr;Kozłowski;Lublin;237;1243.60;1.000
1708;Piotr;Kamiński;Wrocław;489;2906.40;0.527
1709;Maria;Szymański;Warszawa;195;2076.96;0.307
1710;Ewa;Woźniak;Poznań;312;3984.59;0.674
1711;Maria;Kwiatkowski;Lublin;282;1530.59;1.000
1712;Ewa;Nowak;Lublin;191;3458.44;0.892
1713;Barbara;Mazur;Wrocław;221;3615.96;0.368
1714;Katarzyna;Woźniak;Gdańsk;163;2609.47;1.000
1715;Agnieszka;Lewandowski;Warszawa;77;1240.06;1.000
1716;Michał;Woźniak;Łódź;368;239.69;0.852
1717;Joanna;Dąbrowski;Lublin;482;4412.60;0.499
1718;Joanna;Kowalczyk;Katowice;241;1509.94;0.370
1719;Jan;Kamiński;Kraków;305;2649.00;1.000
1720;Anna;Dąbrowski;Warszawa;24;1686.38;0.548
1721;Piotr;Kozłowski;Wrocław;244;4165.82;0.533
1722;Andrzej;Nowak;Warszawa;467;3013.01;1.000
1723;Joanna;Kamiński;Wrocław;141;674.45;0.963
1724;Marcin;Lewandowski;Katowice;470;4965.76;0.577
1725;Krzysztof;Wiśniewski;Gdańsk;304;4375.25;0.466
1726;Piotr;Woźniak;Lublin;164;17.31;0.265
1727;Andrzej;Kowalczyk;Warszawa;298;4684.11;0.716
1728;Joanna;Dąbrowski;Poznań;147;3542.10;0.574
1729;Maria;Kowalczyk;Wrocław;-162;4657.88;1.000
1730;Joanna;Szymański;Warszawa;5;3071.71;1.000
1731;Katarzyna;Szymański;Lublin;99;2351.99;0.966
1732;Ewa;Wójcik;Katowice;498;825.96;0.158
1733;Ewa;Kamiński;Kraków;114;2074.87;1.000
1734;Katarzyna;Dąbrowski;Wrocław;231;4622.29;0.367
1735;Paweł;Kamiński;Warszawa;407;4385.33;0.234
1736;Marcin;Woźniak;Poznań;274;3040.42;1.000
1737;Barbara;Kamiński;Gdańsk;349;2139.80;0.367
1738;Piotr;Kozłowski;Lublin;190;1170.56;0.240
1739;Anna;Wiśniewski;Gdańsk;252;1494.77;0.621
1740;Barbara;Mazur;Katowice;6;2476.15;1.000
1741;Joanna;Nowak;Łódź;68;455.56;0.498
1742;Anna;Szymański;Lublin;294;4613.68;0.438
1743;Andrzej;Kowalczyk;Warszawa;487;3974.13;1.000
1744;Maria;Szymański;Poznań;383;1943.68;1.000
1745;Joanna;Kowalski;Katowice;387;1264.51;1.000
1746;Anna;Kwiatkowski;Lublin;222;1594.23;1.000
1747;Agnieszka;Zieliński;Gdańsk;116;1084.90;0.107
1748;Krzysztof;Woźniak;Łódź;51;1252.18;0.582
1749;Barbara;Lewandowski;Kraków;29;3619.17;1.000
1750;Anna;Mazur;Warszawa;148;133.10;0.922
1751;Paweł;Kozłowski;Katowice;112;1696.88;0.977
1752;Andrzej;Dąbrowski;Kraków;246;3332.98;0.775
1753;Ewa;Kwiatkowski;Wrocław;184;2477.05;1.000
1754;Agnieszka;Szymański;Poznań;92;3229.75;1.000
1755;Katarzyna;Lewandowski;Łódź;405;2408.00;0.903
1756;Maria;Dąbrowski;Wrocław;30;200.79;0.760
1757;Barbara;Kowalski;Kraków;484;231.19;0.175
1758;Joanna;Kozłowski;Katowice;174;668.11;1.000
1759;Michał;Kamiński;Kraków;142;1127.93;0.691
1760;Jan;Lewandowski;Wrocław;252;842.40;0.210
1761;Michał;Szymański;Wrocław;207;1438.96;0.653
1762;Ewa;Kamiński;Warszawa;472;833.38;0.625
1763;Katarzyna;Kowalski;Wrocław;92;1562.13;0.915
1764;Barbara;Woźniak;Wrocław;35;804.50;0.568
1765;Magdalena;Kowalczyk;Katowice;6;3149.00;0.426
1766;Maria;Kowalczyk;Lublin;165;1946.29;1.000
1767;Barbara;Szymański;Katowice;64;4594.88;1.000
1768;Magdalena;Szymański;Gdańsk;111;1287.19;0.371
1769;Maria;Dąbrowski;Poznań;259;865.28;0.992
1770;Andrzej;Zieliński;Łódź;124;4841.34;0.286
1771;Magdalena;Wójcik;Łódź;219;4374.10;1.000
1772;Katarzyna;Mazur;Wrocław;250;4290.34;0.256
1773;Piotr;Wójcik;Katowice;261;1225.50;1.000
1774;Andrzej;Kowalczyk;Łódź;466;1735.50;0.219
1775;Barbara;Mazur;Poznań;265;3849.92;1.000
1776;Paweł;Mazur;Wrocław;252;4710.47;0.733
1777;Maria;Kwiatkowski;Kraków;375;1654.89;0.438
1778;Barbara;Kowalczyk;Gdańsk;218;3708.10;0.359
1779;Maria;Mazur;Poznań;233;3478.61;0.749
1780;Magdalena;Wiśniewski;Poznań;495;1441.56;0.842
1781;Michał;Lewandowski;Wrocław;383;1409.85;0.982
1782;Anna;Mazur;Gdańsk;13;1977.65;0.174
1783;Ewa;Kowalski;Poznań;381;1571.99;1.000
1784;Michał;Woźniak;Łódź;68;3375.72;0.918
1785;Andrzej;Kamiński;Wrocław;320;454.98;0.548
1786;Barbara;Wiśniewski;Kraków;429;4421.96;0.749
1787;Marcin;Dąbrowski;Katowice;391;4013.07;0.936
1788;Michał;Dąbrowski;Lublin;238;1060.32;1.000
1789;Magdalena;Wójcik;Kraków;198;3426.28;0.453
1790;Michał;Lewandowski;Lublin;370;1703.17;1.000
1791;Agnieszka;Wójcik;Łódź;242;1105.41;0.815
1792;Ewa;Nowak;Łódź;309;2521.65;0.463
1793;Piotr;Mazur;Lublin;196;3071.38;0.728
1794;Paweł;Mazur;Łódź;500;2044.96;0.716
1795;Barbara;Szymański;Gdańsk;490;3611.50;0.778
1796;Barbara;Lewandowski;Katowice;7;2358.22;0.512
1797;Katarzyna;Nowak;Katowice;343;3082.43;1.000
1798;Marcin;Wójcik;Warszawa;292;4818.18;0.855
1799;Joanna;Lewandowski;Katowice;126;1222.84;1.000
1800;Brak danych;Kowalczyk;Brak danych;236;53.25;0.852
1801;Magdalena;Kamiński;Lublin;177;557.45;1.000
1802;Maria;Mazur;Łódź;362;1493.64;0.809
1803;Maria;Kwiatkowski;Poznań;231;3723.23;1.000
1804;Agnieszka;Wiśniewski;Kraków;46;2324.97;0.538
1805;Agnieszka;Kamiński;Poznań;140;4655.68;0.526
1806;Magdalena;Lewandowski;Warszawa;473;3394.52;0.319
1807;Andrzej;Kamiński;Łódź;4;1893.84;1.000
1808;Anna;Kwiatkowski;Kraków;176;1687.00;0.927
1809;Tomasz;Nowak;Kraków;226;3320.37;1.000
1810;Andrzej;Mazur;Lublin;26;1233.67;1.000
1811;Michał;Kowalski;Poznań;484;4766.64;0.294
1812;Magdalena;Zieliński;Katowice;156;3333.76;0.139
1813;Piotr;Kwiatkowski;Gdańsk;252;4909.08;0.801
1814;Katarzyna;Kowalczyk;Warszawa;44;1232.97;1.000
1815;Krzysztof;Dąbrowski;Poznań;419;2581.45;0.565
1816;Barbara;Nowak;Warszawa;473;4336.10;0.639
1817;Krzysztof;Wójcik;Katowice;136;4614.35;0.423
1818;Maria;Kwiatkowski;Kraków;422;2751.93;0.592
1819;Magdalena;Szymański;Lublin;265;3739.25;0.552
1820;Andrzej;Kowalczyk;Kraków;252;1213.51;1.000
1821;Maria;Nowak;Wrocław;450;1993.79;1.000
1822;Anna;Woźniak;Wrocław;493;4042.13;0.950
1823;Barbara;Woźniak;Łódź;462;2535.83;1.000
1824;Tomasz;Wiśniewski;Lublin;261;3915.81;0.179
1825;Piotr;Nowak;Kraków;179;823.17;1.000
1826;Krzysztof;Kwiatkowski;Katowice;485;1898.75;0.407
1827;Michał;Dąbrowski;Wrocław;84;4587.31;1.000
1828;Barbara;Mazur;Gdańsk;376;3602.05;0.756
1829;Agnieszka;Wójcik;Poznań;38;441.36;0.297
1830;Joanna;Kowalski;Łódź;175;4573.00;1.000
1831;Magdalena;Wiśniewski;Lublin;127;1156.13;1.000
1832;Agnieszka;Wiśniewski;Lublin;111;2140.88;1.000
1833;Joanna;Wójcik;Poznań;49;2979.77;0.513
1834;Katarzyna;Kozłowski;Warszawa;329;218.21;1.000
1835;Tomasz;Woźniak;Katowice;495;67.17;0.618
1836;Piotr;Nowak;Poznań;461;4527.90;1.000
1837;Katarzyna;Kowalczyk;Katowice;274;1530.43;0.765
1838;Marcin;Kozłowski;Katowice;173;3716.71;0.743
1839;Krzysztof;Kwiatkowski;Gdańsk;251;3217.34;0.188
1840;Barbara;Zieliński;Wrocław;198;1107.42;0.122
1841;Agnieszka;Mazur;Lublin;359;2119.03;1.000
1842;Jan;Kamiński;Łódź;88;2194.68;1.000
1843;Ewa;Nowak;Gdańsk;221;2294.40;0.807
1844;Katarzyna;Kamiński;Katowice;56;1684.80;0.907
1845;Marcin;Nowak;Warszawa;193;4204.83;0.926
1846;Tomasz;Woźniak;Katowice;43;718.61;0.113
1847;Barbara;Wiśniewski;Gdańsk;325;611.42;1.000
1848;Tomasz;Wójcik;Łódź;126;2917.08;0.560
1849;Joanna;Dąbrowski;Kraków;361;3320.19;1.000
1850;Paweł;Wiśniewski;Katowice;252;282.86;0.730
1851;Krzysztof;Szymański;Lublin;327;4133.44;0.364
1852;Maria;Kozłowski;Katowice;102;1330.63;1.000
1853;Paweł;Wiśniewski;Warszawa;272;563.63;0.793
1854;Krzysztof;Mazur;Lublin;317;828.72;0.967
1855;Jan;Kozłowski;Warszawa;314;4732.02;1.000
1856;Anna;Kozłowski;Kraków;467;129.69;1.000
1857;Michał;Kowalski;Wrocław;119;4207.90;1.000
1858;Tomasz;Nowak;Wrocław;227;3729.74;0.451
1859;Maria;Lewandowski;Gdańsk;301;2082.78;0.296
1860;Jan;Szymański;Lublin;194;2257.61;1.000
1861;Krzysztof;Lewandowski;Warszawa;413;4541.90;1.000
1862;Tomasz;Woźniak;Warszawa;452;4865.94;0.352
1863;Marcin;Mazur;Katowice;435;3807.73;0.776
1864;Paweł;Wójcik;Łódź;337;2729.45;0.300
1865;Katarzyna;Dąbrowski;Gdańsk;358;307.09;1.000
1866;Marcin;Mazur;Gdańsk;485;1771.75;0.614
1867;Anna;Wójcik;Łódź;393;2003.84;1.000
1868;Paweł;Wiśniewski;Poznań;388;2155.08;0.424
1869;Krzysztof;Kamiński;Warszawa;482;2826.79;0.493
1870;Anna;Szymański;Katowice;252;1011.57;1.000
1871;Jan;Kamiński;Łódź;458;3249.29;0.183
1872;Agnieszka;Kowalczyk;Warszawa;69;3740.85;0.474
1873;Krzysztof;Kowalczyk;Gdańsk;330;2480.27;0.609
1874;Katarzyna;Kowalczyk;Kraków;132;3704.68;0.155
1875;Krzysztof;Szymański;Warszawa;405;3595.46;0.577
1876;Andrzej;Kowalski;Lublin;415;3449.77;0.703
1877;Ewa;Nowak;Warszawa;486;3494.48;0.358
1878;Anna;Kowalski;Wrocław;406;2474.77;1.000
1879;Piotr;Wiśniewski;Łódź;402;3957.35;0.179
1880;Katarzyna;Wójcik;Gdańsk;407;775.31;1.000
1881;Piotr;Kamiński;Łódź;11;3617.87;0.497
