id;imie;nazwisko;miasto;ilosc;kwota;wpsolczynnik
1502;Ewa;Wiśniewski;poznan;353;1602.92;0.297
1503;Krzysztof;Woźniak;KRAKÓW;337;3536.92;0.853
1504;Magdalena;Lewandowski;Gdańsk;118;2461.56;0,959
1505;Ewa;Kwiatkowski;LODZ;301;2278,70;1.234.5
1506;Joanna;Nowak;WROCŁAW;355;1075.06;0.564
1507;Magdalena;Kowalczyk;LUBLIN;244;1474.36;0.909
1508;Joanna;Woźniak;LODZ;67;1833.98;0,63
1509;Andrzej;Kwiatkowski;Poznań;348;140.61;0.257
1510;Magdalena;Zieliński;Lodz;222;1165,28;0.748
1511;Piotr;Lewandowski;LODZ;313;766.10;0.129
1512;Magdalena;Wiśniewski;Lodz;462;4990.56;0,158
1513;Piotr;Kozłowski;Poznań;56;3686.54;1.213
1514;Paweł;Kamiński;WARSZAWA;376;477.79;1.081
1515;Magdalena;Kamiński;Gdansk;416;4045,28;0.65
1516;Agnieszka;Wójcik;Lubln;241;1560.87;1,115
1517;Ewa;Wójcik;KRAKÓW;135 szt;2116.16;1.223
1518;Joanna;Mazur;Gdansk;471;4820.49 zł;1.12
1519;Michał;Wiśniewski;WARSZAWA;270;1557.20;1.188
1520;Tomasz;Kowalski;POZNAŃ;478;1456,71;1,089
1521;Jan;Dąbrowski;GDAŃSK;411;465.70;1.264
1522;Ewa;Mazur;LODZ;254;1575.21;0.898
1523;Ewa;Kamiński;WROCŁAW;349;3371.62;0.628
1524;Maria;Lewandowski;GDAŃSK;458;3027.29;0,147
1525;Magdalena;Szymański;Kraków ;110;4988,27;1.112
1526;Anna;Mazur;Katowic;317;598.43;1.297
1527;Tomasz;Kozłowski;WROCŁAW;237;2577.37;0.61
1528;Ewa;Mazur;Katowic;250;3138.33;1,467
1529;Katarzyna;Wójcik; Warszawa;316;2990.94;0.888
1530;Paweł;Kowalczyk;wroclaw;429;3914,19;0.791
1531;Maria;Kowalczyk;Wrocław;159;4479.14;0.835
1532;Agnieszka;Kwiatkowski;Lubln;200;1958.40;1,117
1533;agnieszka;Kamiński;LUBLIN;188;4609.25;0.315
1534;Marcin;Kwiatkowski;warszawa;41;3955.08;0.883
1535;Magdalena;Mazur;LODZ;463;2501,18;0.406
1536;Krzysztof;NOWAK;katowice;2;3789.23;1,085
1537;Krzysztof;Wiśniewski;Warszawa ;27;1632.36;0.468
1538;Joanna;Kozłowski;WROCŁAW;101;168.02;1.28
1539;Barbara;Dąbrowski;Lublin;270;4843.04;0.963
1540;Barbara;Kamiński  ;WROCŁAW;;885,95;1,255
1541;Katarzyna;Lewandowski;LODZ;433;1077.69 zł;0.373
1542;Maria;Kowalski;Krakow;138;1591.87;1.312
1543;Katarzyna;Zieliński;Poznań;191;385.23;0.543
1544;Tomasz;Kowalczyk; Warszawa;297;2495.44;0,247
1545;Anna;Kamiński;Gdańsk;141;4629,11;1.067
1546;Katarzyna;Lewandowski;Lublin;478;447.75;0.593
1547;Anna;Mazur;KATOWICE;-262;2529.47;1.411
1548;Michał;Kwiatkowski;POZNAŃ;289;3399.54;1,45
1549;Joanna;Kamiński;Lubln;462;1058.11;0.597
1550;  Marcin ;Dąbrowski;katowice;146;556,95;0.935
1551;Agnieszka;Nowak;katowice;123;3235.79;1.049
1552;Agnieszka;Zieliński;wroclaw;476;1648.37;1,35
1553;Krzysztof;Lewandowski;katowice;373;2306.55;1.431
1553;Piotr;Mazur;lublin;392 szt;4226.53;0.522
1555;Ewa;Woźniak;warszawa;354;3176,78;0.657
1556;Ewa;Kozłowski;POZNAŃ;129;1428.43;1,131
1557;Agnieszka;Zieliński;Gdańsk;486;2776.54;1.182
1558;Maria;Woźniak;Krakow ;490;2354.89;1.208
1559;Barbara;Nowak;Gdansk;275;4302.34;0.223
1560;;Kwiatkowski;POZNAŃ;abc;270.45;1,039
1561;Jan;Wójcik;WROCŁAW;417;803.22;1.297
1562;Maria;Kozłowski;Wrocław;39;1672.70;0.329
1563;Michał;Wójcik;Warszawa;70;4282.96;1.467
1564;Paweł;Zieliński;GDAŃSK;260;71.01 zł;0,84
1565;Krzysztof;Kamiński;Kraków;3;763,14;0.661
1566;Katarzyna;Zieliński;Łódź;377;2578.03;1.491
1567;Piotr;Nowak;LODZ;492;4456.60;0.306
1568;Maria;Kamiński;Lublin;263;2451.79;0,286
1569;Anna;Kowalczyk;Kraków;131;1028.71;0.297
1570;Katarzyna;Kowalczyk;wroclaw;337;4872,99;1.067
1571;Barbara;Szymański;Krakow ;188;1425.21;1.161
1572;Tomasz;Lewandowski;Poznań;323;4497.42;0,205
1573;Tomasz;Woźniak;WARSZAWA;187;4172.45;0.701
1574;Paweł;Szymański;Poznań;477;4795.46;0.877
1575;Maria;Kozłowski;Katowice;434;3443,51;
1576;Marcin;Mazur;KRAKÓW;35;1536.50;1,276
1577;Paweł;Kwiatkowski;Lubln;109;4977.63;1.128
1578;Barbara;Kowalski;LODZ;474;3039.46;1.306
1579;Paweł;Kowalski;Wwa;154;3440.18;1.006
1580;Tomasz;Dąbrowski;Poznan;271;4730,79;1,033
1581;Maria;Kamiński;Łódź;157;4498.80;0.968
1582;Barbara;Zieliński;Katowice;156;3994.35;1.311
1583;Ewa;Woźniak;Poznan;384;2728.70;1.308
1584;Agnieszka;Kowalski;Lublin;78;3219.56;58%
1585;Michał;Kowalski;Lublin;229;2532,77;0.262
1586;Piotr;Woźniak;Wwa;60;3591.40;0.606
1587;Andrzej;Dąbrowski;krakow;72;4542.81 zł;1.498
1588;Magdalena;Zieliński;Lublin;260;1868.63;1,086
1589;Joanna;Nowak;LODZ;488;713.59;0.764
1590;Maria;Kamiński;warszawa;224;4679,49;0.25
1591;Marcin;Wójcik;lublin;318 szt;2389.27;1.27
1592;Agnieszka;Mazur;GDAŃSK;451;4305.41;0,925
1593;Barbara;Kowalski;Kraków ;432;3903.37;1.099
1594;Michał;Zieliński;Katowice;217;415.50;1.26
1595;Paweł;Wójcik;Gdansk;40;;0.587
1596;Marcin;Kwiatkowski;Gdańsk;303;680.63;1,042
1597;Tomasz;Lewandowski;Warszawa ;29;3797.13;0.486
1598;Katarzyna;Szymański;Poznań;7;1684.42;0.616
1599;Paweł;Mazur;Gdańsk;93;4594.61;1.213
1600;  Krzysztof ;WIŚNIEWSKI;;498;3082,82;1,493
1601;Jan;Kamiński;Katowice;271;4607.39;1.478
1602;Barbara;Kamiński;Lubln;213;4322.62;1.168
1603;Katarzyna;Kozłowski;warszawa;376;3451.09;1.229
1604;Krzysztof;Kozłowski;Gdańsk;499;3682.94;0,999
1605;Joanna;Kowalczyk;KATOWICE;301;1316,40;1.376
1606;tomasz;Wiśniewski;WROCŁAW;267;4291.68;1.494
1607;Katarzyna;Kowalczyk;Warszawa;412;2853.29;0.968
1608;Michał;Dąbrowski;KRAKÓW;169;4705.45;1,184
1609;Joanna;Wiśniewski;Kraków ;76;1894.04;1.042
1610;Piotr;Woźniak;WROCŁAW;181;4940,37 zł;1.168
1611;Krzysztof;Mazur;gdansk;51;1270.97;0.935
1612;Maria;Woźniak; Warszawa;346;1914.01;0,668
1613;Andrzej;Zieliński;Krakow ;424;4382.48;0.222
1614;Jan;Kamiński;Poznan;74;4072.50;0.667
1615;Agnieszka;Kwiatkowski;warszawa;220;1086,77;1.476
1616;Tomasz;Kowalski;Poznan;452;4499.13;1,183
1617;Andrzej;Lewandowski;LODZ;302;3545.87;0.499
1618;Joanna;Zieliński;WROCŁAW;135;3741.30;0.806
1619;Anna;Wiśniewski;Gdańsk;119;4246.86;0.757
1620;Anna;Kamiński;krakow;361;4 375.97;0,192
1621;Agnieszka;Nowak;WROCŁAW;416;3133.29;1.337
1622;Paweł;Mazur;WARSZAWA;103;379.56;1.492
1623;Joanna;Lewandowski;KATOWICE;290;3453.65;0.895
1624;Magdalena;Wiśniewski;LUBLIN;344;3459.36;1,37
1625;Andrzej;Szymański;Katowice;423;3201,76;0.561
1626;Piotr;Kowalczyk;katowice;216;1352.84;1.113
1627;Ewa;Lewandowski;Lublin;176;4045.25;0.459
1628;Andrzej;Zieliński;Katowic;440 szt;163.30;0,418
1629;Michał;Zieliński;Poznań;157;2010.49;0.847
1630;Anna;Kowalski;Lodz;54;2905,80;0.48
1631;Michał;Kozłowski;KATOWICE;226;864.55;1.034
1632;Piotr;Kowalski;Lublin;482;1123.23;0,494
1633;Joanna;Kozłowski;KATOWICE;52;522.77 zł;0.23
1634;Krzysztof;Szymański;Gdańsk;228;1885.06;1.128
1635;Maria;Zieliński;Poznań;108;1795,48;1.243
1636;Barbara;Mazur;Lublin;21;4139.51;0,279
1637;Maria;Wójcik;LUBLIN;135;218.31;0.583
1638;Barbara;Lewandowski;gdansk;-121;4624.02;1.07
1639;Andrzej;Kamiński;LODZ;258;1834.10;1.314
1640;Joanna;Dąbrowski;LODZ;278;2232,40;1,492
1641;Joanna;Szymański;Łodz;194;1712.12;0.871
1642;Agnieszka;Kwiatkowski;WROCŁAW;317;676.01;0.227
1643;Anna;Kowalczyk;lublin;270;3543.12;0.617
1644;Maria;Kwiatkowski; Warszawa;169;4777.26;1,368
1645;Barbara;Woźniak;Poznań;189;4446,61;1.263
1646;Andrzej;Lewandowski;Łódź;243;2007.24;0.451
1647;Joanna;Kowalczyk;Lubln;2;583.62;0.118
1648;Ewa;Zieliński;KATOWICE;16;4639.55;1,103
1649;Ewa;Mazur; Warszawa;165;3518.06;0.183
1650;  Agnieszka ;Kozłowski;Poznan;;477,11;0.514
1651;Maria;Lewandowski;Poznan;110;4163.67;1.045
1652;Krzysztof;Kowalczyk;katowice;408;3781.66;1,033
1653;Anna;Kwiatkowski;Katowic;55;4114.84;0.847
1654;Joanna;Kamiński;Katowic;306;944.11;1.042
1655;Andrzej;Dąbrowski;Warszawa;91;2031,08;1.173
1656;Tomasz;Kwiatkowski;Katowic;170;753.69 zł;1,289
1657;Katarzyna;Wiśniewski;Warszawa ;149;3617.26;0.257
1658;Anna;Kozłowski;Gdansk;441;3604.07;0.63
1659;Maria;Kozłowski;WROCŁAW;423;4738.19;0.714
1660;Andrzej;Nowak;łódź;171;3591,25;0,41
1661;Krzysztof;Nowak;katowice;98;2205.22;0.38
1662;Piotr;Wiśniewski;Wrocław;63;2918.25;0.214
1663;Krzysztof;Szymański;Lublin;419;1933.50;1.414
1664;Agnieszka;KOWALCZYK; Warszawa;361;3785.98;1,152
1665;Maria;Zieliński;GDAŃSK;23 szt;0;1.432
1666;Magdalena;Szymański;lublin;332;2468.80;0.786
1667;Michał;Mazur;poznan;223;4851.82;0.397
1668;Magdalena;Lewandowski;wroclaw;372;4645.25;0,811
1669;Joanna;Zieliński;wroclaw;422;3448.17;0.62
1670;Magdalena;Wiśniewski;Katowice;342;2206,58;1.136
1671;Agnieszka;Dąbrowski;POZNAŃ;123;335.33;0.651
1672;Joanna;Kamiński;Łodz;240;4481.20;100%
1673;Maria;Woźniak;LUBLIN;118;783.65;0.807
1674;Andrzej;Mazur;łódź;494;2248.92;1.473
1675;Magdalena;Szymański;Wwa;384;1680,95;0.981
1676;Barbara;Kamiński;Lubln;99;747.64;0,609
1677;Paweł;Kozłowski; Warszawa;394;2323.47;1.442
1678;Marcin;Kozłowski;Warszawa;284;636.95;1.104
1679;anna;Kozłowski;Katowic;496;1589.66 zł;0.363
1680;;Kamiński  ;LUBLIN;394;1 092.41;
1681;Jan;Kozłowski;gdansk;380;2691.20;1.426
1682;Agnieszka;Lewandowski;Katowice;372;2831.75;1.401
1683;Agnieszka;Mazur;wroclaw;337;3571.52;0.495
1684;Anna;Kowalski;Wroclaw;159;1543.21;0,876
1685;Katarzyna;Lewandowski;krakow;119;4202,08;0.588
1686;Piotr;Mazur;poznan;353;2951.94;0.304
1687;Agnieszka;Dąbrowski;Poznan;394;3335.54;0.294
1688;Katarzyna;Szymański;katowice;119;3664.31;0,96
1689;Michał;Nowak;wroclaw;223;543.61;0.422
1690;Joanna;Zieliński;Wroclaw;abc;2453,50;0.302
1691;Agnieszka;Kowalski; Warszawa;314;1073.31;1.481
1692;Michał;Kowalczyk;Lubln;248;1072.59;0,122
1693;Paweł;Kamiński;POZNAŃ;190;2003.02;0.41
1694;Piotr;Lewandowski;POZNAŃ;469;4677.20;0.37
1695;Agnieszka;Wiśniewski;LUBLIN;117;3563,63;0.408
1696;Andrzej;Lewandowski;warszawa;327;3880.35;0,358
1697;Katarzyna;Mazur;Lubln;30;1033.13;0.295
1698;Andrzej;Kamiński;Warszawa ;22;1846.54;0.473
1699;Katarzyna;Nowak;Lubln;331;771.43;1.323
1700;  Tomasz ;Kamiński;Wroclaw;81;4223,91;0,754
1701;Tomasz;Kowalski;Łodz;426;2187.43;1.138
1702;Paweł;Nowak;łódź;327 szt;4355.54 zł;0.499
1703;Anna;Kwiatkowski;LODZ;92;4169.72;0.536
1704;Agnieszka;Szymański;Warszawa ;274;3643.75;0,246
1705;Barbara;Kowalczyk;Poznan;29;3932,25;1.321
1706;Barbara;Mazur;LODZ;293;3518.62;1.069
1707;Piotr;Kozłowski;LUBLIN;237;1243.60;1.113
1708;Piotr;Kamiński;WROCŁAW;489;2906.40;0,527
1709;Maria;Szymański;Warszawa;195;2076.96;0.307
1710;Ewa;Woźniak;poznan;312;3984,59;0.674
1711;Maria;Kwiatkowski;LUBLIN;282;1530.59;1.193
1712;Ewa;Nowak;LUBLIN;191;3458.44;0,892
1713;Barbara;Mazur;Wrocław;221;3615.96;0.368
1714;Katarzyna;Woźniak;Gdansk;163;2609.47;1.181
1715;Agnieszka;Lewandowski; Warszawa;77;1240,06;1.155
1716;Michał;Woźniak;Lodz;368;239.69;0,852
1717;Joanna;Dąbrowski;Lubln;482;4412.60;0.499
1718;Joanna;Kowalczyk;KATOWICE;241;1509.94;0.37
1719;Jan;Kamiński;Kraków;305;2649.00;1.126
1720;Anna;Dąbrowski;Warszawa;24;1686,38;1.234.5
1721;Piotr;Kozłowski;WROCŁAW;244;4165.82;0.533
1722;Andrzej;Nowak;Warszawa;467;3013.01;1.46
1723;Joanna;Kamiński;Wrocław;141;674.45;0.963
1724;Marcin;Lewandowski;KATOWICE;470;4965.76;0,577
1725;Krzysztof;Wiśniewski;gdansk;304;4375,25 zł;0.466
1726;Piotr;Woźniak;LUBLIN;164;17.31;0.265
1727;Andrzej;Kowalczyk;WARSZAWA;298;4684.11;0.716
1728;Joanna;DĄBROWSKI;poznan;147;3542.10;0,574
1729;Maria;Kowalczyk;WROCŁAW;-162;4657.88;1.376
1730;Joanna;Szymański;Warszwa;5;3071,71;1.342
1731;Katarzyna;Szymański;Lublin;99;2351.99;0.966
1732;Ewa;Wójcik;Katowic;498;825.96;0,158
1733;Ewa;Kamiński;Kraków ;114;2074.87;1.201
1734;Katarzyna;Dąbrowski;wroclaw;231;4622.29;0.367
1735;Paweł;Kamiński; Warszawa;407;4385,33;0.234
1736;Marcin;Woźniak;poznan;274;3040.42;1,433
1737;Barbara;Kamiński;gdansk;349;2139.80;0.367
1738;Piotr;Kozłowski;LUBLIN;190;1170.56;0.24
1739;Anna;Wiśniewski;gdansk;143 szt;1494.77;0.621
1740;Barbara;Mazur;Katowic;6;;1,24
1741;Joanna;Nowak;Lodz;68;455.56;0.498
1742;Anna;Szymański;Lublin;294;4613.68;0.438
1743;Andrzej;Kowalczyk; Warszawa;487;3974.13;1.052
1744;Maria;Szymański;Poznan;383;1943.68;1,364
1745;Joanna;Kowalski;Katowice;387;1264,51;1.403
1746;Anna;Kwiatkowski;LUBLIN;222;1594.23;1.074
1747;Agnieszka;Zieliński;Gdańsk;116;1084.90;0.107
1748;Krzysztof;Woźniak;Lodz;51;1252.18 zł;0,582
1749;Barbara;Lewandowski;krakow;29;3619.17;1.238
1750;  Anna ;Mazur;WARSZAWA;148;133,10;0.922
1751;Paweł;Kozłowski;Katowic;112;1696.88;0.977
1752;andrzej;Dąbrowski;Kraków ;246;3332.98;0,775
1753;Ewa;Kwiatkowski;wroclaw;184;2477.05;1.464
1754;Agnieszka;Szymański;poznan;92;3229.75;1.399
1755;Katarzyna;Lewandowski;łódź;405;2408,00;0.903
1756;Maria;Dąbrowski;Wroclaw;30;200.79;0,76
1757;Barbara;Kowalski;Kraków ;484;231.19;0.175
1758;Joanna;Kozłowski;KATOWICE;174;668.11;1.005
1759;Michał;Kamiński;Krakow;142;1127.93;0.691
1760;Jan;Lewandowski;wroclaw;;842,40;21%
1761;Michał;Szymański;Wrocław;207;1438.96;0.653
1762;Ewa;Kamiński;Warszawa;472;833.38;0.625
1763;Katarzyna;Kowalski;Wrocław;92;1562.13;0.915
1764;Barbara;Woźniak;wroclaw;35;804.50;0,568
1765;Magdalena;Kowalczyk;katowice;6;3149,00;0.426
1766;Maria;Kowalczyk;lublin;165;1946.29;1.427
1767;Barbara;Szymański;Katowic;64;4594.88;1.216
1768;Magdalena;Szymański;Gdansk;111;1287.19;0,371
1769;Maria;Dąbrowski;poznan;259;865.28;0.992
1770;Andrzej;Zieliński;łódź;124;4841,34;0.286
1771;Magdalena;Wójcik;Lodz;219;4374.10 zł;1.195
1772;Katarzyna;Mazur;Wroclaw;250;4290.34;0,256
1773;Piotr;Wójcik;Katowice;261;1225.50;1.138
1774;Andrzej;Kowalczyk;Łodz;466;1735.50;0.219
1775;Barbara;Mazur;POZNAŃ;265;3849,92;1.259
1776;Paweł;Mazur;Wrocław;104 szt;4710.47;0,733
1777;Maria;Kwiatkowski;Krakow ;375;1654.89;0.438
1778;Barbara;Kowalczyk;gdansk;218;3708.10;0.359
1779;Maria;Mazur;poznan;233;3478.61;0.749
1780;Magdalena;Wiśniewski;Poznań;495;1441,56;0,842
1781;Michał;Lewandowski;Wrocław;383;1409.85;0.982
1782;Anna;Mazur;GDAŃSK;13;1977.65;0.174
1783;Ewa;Kowalski;Poznań;381;1571.99;1.318
1784;Michał;Woźniak;Lodz;68;3375.72;0,918
1785;Andrzej;Kamiński;Wrocław;320;454,98;
1786;Barbara;Wiśniewski;krakow;429;4421.96;0.749
1787;Marcin;Dąbrowski;katowice;391;4013.07;0.936
1788;Michał;Dąbrowski;lublin;238;1060.32;1,067
1789;Magdalena;Wójcik;Kraków ;198;3426.28;0.453
1790;Michał;Lewandowski;Lubln;370;1703,17;1.33
1791;Agnieszka;Wójcik;LODZ;242;1105.41;0.815
1792;Ewa;NOWAK;Łodz;309;2521.65;0,463
1793;Piotr;Mazur;LUBLIN;196;3071.38;0.728
1794;Paweł;Mazur;Łodz;500;2044.96 zł;0.716
1795;Barbara;Szymański;gdansk;490;3611,50;0.778
1796;Barbara;Lewandowski;Katowice;7;2358.22;0,512
1797;Katarzyna;Nowak;Katowic;343;3082.43;1.193
1798;Marcin;Wójcik;Wwa;292;4818.18;0.855
1799;Joanna;Lewandowski;KATOWICE;126;1222.84;1.208
1800;;Kowalczyk;;236;53.25;0,852
1801;Magdalena;Kamiński;LUBLIN;177;557.45;1.234
1802;Maria;Mazur;LODZ;362;1493.64;0.809
1803;Maria;Kwiatkowski;Poznan;231;3723.23;1.204
1804;Agnieszka;Wiśniewski;KRAKÓW;46;2324.97;0,538
1805;Agnieszka;Kamiński;poznan;140;4655,68;0.526
1806;Magdalena;Lewandowski;Warszwa;473;3394.52;0.319
1807;Andrzej;Kamiński;Łódź;4;1893.84;1.077
1808;Anna;Kwiatkowski;Krakow;176;1687.00;0,927
1809;Tomasz;Nowak;KRAKÓW;226;3320.37;1.485
1810;Andrzej;Mazur;lublin;26;1233,67;1.179
1811;Michał;Kowalski;Poznan;484;4766.64;0.294
1812;Magdalena;Zieliński;Katowic;156;3333.76;0,139
1813;Piotr;Kwiatkowski;GDAŃSK;72 szt;4909.08;0.801
1814;Katarzyna;Kowalczyk;warszawa;44;1232.97;1.307
1815;Krzysztof;Dąbrowski;poznan;419;2581,45;0.565
1816;Barbara;Nowak;Warszwa;473;4336.10;0,639
1817;Krzysztof;Wójcik;Katowice;136;4614.35 zł;0.423
1818;Maria;Kwiatkowski;KRAKÓW;422;2751.93;0.592
1819;Magdalena;Szymański;Lublin;265;3739.25;0.552
1820;Andrzej;Kowalczyk  ;KRAKÓW;abc;1213,51;1,014
1821;Maria;Nowak;Wrocław;450;1993.79;1.037
1822;Anna;Woźniak;wroclaw;493;4042.13;0.95
1823;Barbara;Woźniak;Łódź;462;2535.83;1.149
1824;Tomasz;Wiśniewski;lublin;261;3915.81;0,179
1825;piotr;Nowak;Krakow;179;823,17;1.434
1826;Krzysztof;Kwiatkowski;Katowice;485;1898.75;0.407
1827;Michał;Dąbrowski;wroclaw;84;4587.31;1.109
1828;Barbara;Mazur;Gdańsk;376;3602.05;0,756
1829;Agnieszka;Wójcik;poznan;38;441.36;0.297
1830;Joanna;Kowalski;Lodz;175;4573,00;1.247
1831;Magdalena;Wiśniewski;lublin;127;1156.13;1.408
1832;Agnieszka;Wiśniewski;lublin;111;2140.88;1,056
1833;Joanna;Wójcik;Poznan;49;2979.77;0.513
1834;Katarzyna;Kozłowski;Warszawa;329;218.21;1.315
1835;Tomasz;Woźniak;katowice;495;67,17;0.618
1836;Piotr;Nowak;Poznan;461;4527.90;1,067
1837;Katarzyna;Kowalczyk;Katowic;274;1530.43;0.765
1838;Marcin;Kozłowski;Katowice;173;3716.71;0.743
1839;Krzysztof;Kwiatkowski;Gdansk;251;3217.34;0.188
1840;Barbara;Zieliński;WROCŁAW;198;1107,42 zł;0,122
1841;Agnieszka;Mazur;lublin;359;2119.03;1.494
1842;Jan;Kamiński;łódź;88;2194.68;1.074
1843;Ewa;Nowak;Gdansk;221;2294.40;0.807
1844;Katarzyna;Kamiński;KATOWICE;56;1684.80;0,907
1845;Marcin;Nowak;Warszawa ;193;4204,83;0.926
1846;Tomasz;Woźniak;Katowice;43;718.61;0.113
1847;Barbara;Wiśniewski;gdansk;325;611.42;1.353
1848;Tomasz;Wójcik;LODZ;126;2917.08;56%
1849;Joanna;Dąbrowski;Kraków;361;3320.19;1.345
1850;  Paweł ;Wiśniewski;KATOWICE;47 szt;282,86;0.73
1851;Krzysztof;Szymański;lublin;327;4133.44;0.364
1852;Maria;Kozłowski;katowice;102;1330.63;1,095
1853;Paweł;Wiśniewski;Wwa;272;563.63;0.793
1854;Krzysztof;Mazur;lublin;317;828.72;0.967
1855;Jan;Kozłowski;WARSZAWA;314;4732,02;1.426
1856;Anna;KOZŁOWSKI;Kraków;467;129.69;1,104
1857;Michał;Kowalski;WROCŁAW;119;4207.90;1.158
1858;Tomasz;Nowak;Wroclaw;227;3729.74;0.451
1859;Maria;Lewandowski;Gdansk;301;2082.78;0.296
1860;Jan;Szymański;Lublin;194;2 257.61;1,349
1861;Krzysztof;Lewandowski;Warszwa;413;4541.90;1.301
1862;Tomasz;Woźniak;Warszawa ;452;4865.94;0.352
1863;Marcin;Mazur;katowice;435;3807.73 zł;0.776
1864;Paweł;Wójcik;LODZ;337;2729.45;0,3
1865;Katarzyna;Dąbrowski;Gdańsk;358;307,09;1.386
1866;Marcin;Mazur;gdansk;485;1771.75;0.614
1867;Anna;Wójcik;LODZ;393;2003.84;1.077
1868;Paweł;Wiśniewski;Poznan;388;2155.08;0,424
1869;Krzysztof;Kamiński;warszawa;482;2826.79;0.493
1870;Anna;Szymański;Katowic;;1011,57;1.347
1871;Jan;Kamiński;Łódź;458;3249.29;0.183
1872;Agnieszka;Kowalczyk;warszawa;69;3740.85;0,474
1873;Krzysztof;Kowalczyk;Gdansk;330;2480.27;0.609
1874;Katarzyna;Kowalczyk;krakow;132;3704.68;0.155
1875;Krzysztof;Szymański;Wwa;405;3595,46;0.577
1876;Andrzej;Kowalski;Lubln;415;3449.77;0,703
1877;Ewa;Nowak;Warszawa;486;3494.48;0.358
1878;Anna;Kowalski;WROCŁAW;406;2474.77;1.391
1879;Piotr;Wiśniewski;Łodz;402;3957.35;0.179
1880;Katarzyna;Wójcik;GDAŃSK;407;775,31;1,345
1881;Piotr;Kamiński;łódź;11;3617.87;0.497
1882;Barbara;Woźniak;krakow;362;873.80;0.397
1883;Piotr;Wójcik;Katowice;373;1767.59;0.941
1884;Krzysztof;Dąbrowski;Gdansk;226;2215.75;1,058
1885;Agnieszka;Woźniak;Lublin;401;;1.013
1886;Maria;Dąbrowski;Krakow ;399;1415.55 zł;0.93
1887;Katarzyna;Kamiński;Wrocław;286 szt;564.42;0.648
1888;Magdalena;Woźniak;LUBLIN;138;4089.29;0,988
1889;Krzysztof;Wójcik;warszawa;240;333.26;0.408
1890;Marcin;Dąbrowski; Warszawa;14;2911,36;
1891;Piotr;Kowalski;Warszawa;440;1042.38;1.163
1892;Piotr;Kozłowski;Wrocław;169;204.57;0,535
1893;Agnieszka;Kowalski;Lodz;317;2628.90;0.473
1894;Ewa;Kamiński;KATOWICE;337;594.75;0.687
1895;Tomasz;Szymański;Gdańsk;476;1425,90;0.81
1896;Krzysztof;Kowalczyk;Katowic;272;4203.79;0,968
1897;Agnieszka;Szymański;GDAŃSK;68;2210.69;1.414
1898;maria;Kozłowski;LUBLIN;409;1915.30;1.433
1899;Katarzyna;Wójcik;KRAKÓW;268;2035.12;1.139
1900;  Jan ;Zieliński;Lubln;421;1020,42;0,769
1901;Magdalena;Kowalczyk;wroclaw;116;3130.17;0.524
1902;Maria;Mazur;Łódź;361;12.06;1.26
1903;Agnieszka;Szymański;Warszwa;169;3923.58;0.927
1904;Katarzyna;Zieliński;warszawa;434;4396.54;0,469
1905;Katarzyna;Lewandowski;Poznan;477;123,21;0.556
1906;Maria;Lewandowski;Gdańsk;53;79.11;1.276
1907;Tomasz;Zieliński;Łódź;186;4561.18;0.443
1908;Marcin;Kozłowski;poznan;71;1635.36;0,455
1909;Krzysztof;Kozłowski;WROCŁAW;68;915.33 zł;1.374
1910;Andrzej;Kamiński;Łodz;63;4733,99;0.142
1911;Maria;Wójcik;Kraków ;-470;2295.80;0.466
1912;Michał;Szymański;Lubln;412;22.20;1,098
1913;Jan;Kowalczyk;warszawa;239;1525.21;0.655
1914;Michał;Lewandowski;krakow;2;4278.00;0.711
1915;Michał;Kozłowski;Poznan;458;3659,90;0.906
1916;Piotr;Kozłowski;lublin;380;3310.10;0,151
1917;Magdalena;Zieliński;Gdańsk;223;1245.42;1.165
1918;Marcin;Wiśniewski;Lodz;89;1287.12;0.679
1919;Michał;Kwiatkowski;Katowice;421;1716.33;0.811
1920;;ZIELIŃSKI;Katowic;335;4 668.60;1,403
1921;Ewa;Zieliński;Warszawa;349;2885.25;1.28
1922;Paweł;Kowalczyk;LODZ;389;3412.66;0.452
1923;Tomasz;Woźniak;Łodz;334;3555.58;1.363
1924;Piotr;Zieliński;GDAŃSK;407 szt;1726.34;1,231
1925;Andrzej;Zieliński;KRAKÓW;45;750,07;0.122
1926;Anna;Woźniak;Lublin;231;4332.87;1.25
1927;Paweł;Dąbrowski;WARSZAWA;354;3421.69;1.211
1928;Maria;Wiśniewski;Poznan;84;1980.51;0,606
1929;Agnieszka;Wójcik;Wroclaw;494;920.10;1.096
1930;Marcin;Wójcik;Lodz;123;1135,65;0.684
1931;Agnieszka;Zieliński;Lodz;246;1338.95;0.686
1932;Katarzyna;Kamiński;WARSZAWA;47;2379.56 zł;0,397
1933;Krzysztof;Kowalski;POZNAŃ;103;4446.59;0.96
1934;Magdalena;Mazur;Lubln;304;1611.63;0.175
1935;Katarzyna;Wiśniewski;Łodz;107;2071,37;1.234.5
1936;Katarzyna;Wójcik;Kraków ;247;3469.18;79%
1937;Krzysztof;Zieliński;Gdansk;139;222.13;1.07
1938;Joanna;Kozłowski;poznan;43;1001.39;0.938
1939;Krzysztof;Zieliński;Wrocław;433;2210.00;0.349
1940;Katarzyna;Mazur;Wrocław;307;3980,75;1,406
1941;Krzysztof;Lewandowski;KRAKÓW;442;4655.98;1.016
