nr_zamowienia;data_zamowienia;klient;miasto;wojewodztwo;kategoria;produkt;ilosc;cena_jedn;rabat_proc;wartosc;status
ZAM/2024/02423;2025-04-29;Aleksandra Nowak;Białystok;podlaskie;Książki;Atlas świata;2;404,67;5;768,87;Zrealizowane
ZAM/2024/02424;2025-02-06;Andrzej Nowicki;Katowice;śląskie;Elektronika;Tablet Mini;10;1389,25;10;12503,25;Anulowane
ZAM/2024/02425;2025-01-02;Agnieszka Nowak;Wrocław;dolnośląskie;Spożywcze;Miód;44;2311,09;20;81350,37;W trakcie
ZAM/2024/02426;2024-06-09;Anna Wójcik;Poznań;wielkopolskie;Ogród;Donica ceramiczna;14;2333,50;0;32669,00;W trakcie
ZAM/2024/02427;2025-03-27;Marcin Szymański;Szczecin;zachodniopomorskie;Ogród;Parasol;41;817,48;20;26813,34;Zwrot
ZAM/2024/02428;2024-05-02;Łukasz Kamiński;Bydgoszcz;kujawsko-pomorskie;Meble;Stół dębowy;44;1537,61;0;67654,84;Anulowane
ZAM/2024/02429;2024-07-20;Marcin Dąbrowski;Szczecin;zachodniopomorskie;Elektronika;Tablet Mini;9;1306,98;0;11762,82;Zwrot
ZAM/2024/02430;2024-05-31;Aleksandra Nowak;Kraków;małopolskie;Meble;Komoda;18;1174,13;10;19020,91;W trakcie
ZAM/2024/02431;2024-05-02;Barbara Kwiatkowski;Poznań;wielkopolskie;Spożywcze;Oliwa z oliwek;10;3048,22;20;24385,76;Zwrot
ZAM/2024/02432;2024-03-22;Anna Krawczyk;Rzeszów;podkarpackie;Zabawki;Lalka;12;3231,90;0;38782,80;Zrealizowane
ZAM/2024/02433;2024-05-26;Agnieszka Szymański;Szczecin;zachodniopomorskie;Spożywcze;Herbata zielona;15;4105,96;15;52350,99;Zwrot
ZAM/2024/02434;2024-06-06;Katarzyna Woźniak;Lublin;lubelskie;Ogród;Parasol;26;454,97;15;10054,84;Zrealizowane
ZAM/2024/02435;2025-06-11;Magdalena Lewandowski;Katowice;śląskie;Elektronika;Smartfon X;39;1416,91;0;55259,49;Zwrot
ZAM/2024/02436;2024-06-12;Katarzyna Zieliński;Łódź;łódzkie;Ogród;Wąż ogrodowy;32;4286,04;0;137153,28;Zwrot
ZAM/2024/02437;2024-03-05;Joanna Mazur;Katowice;śląskie;Odzież;Buty sportowe;25;1983,18;15;42142,57;Anulowane
ZAM/2024/02438;2024-06-05;Magdalena Kowalczyk;Katowice;śląskie;Meble;Komoda;33;1094,48;0;36117,84;W trakcie
ZAM/2024/02439;2024-07-18;Piotr Kwiatkowski;Bydgoszcz;kujawsko-pomorskie;AGD;Czajnik;43;1920,35;0;82575,05;Zwrot
ZAM/2024/02440;2024-04-22;Monika Michalski;Poznań;wielkopolskie;Ogród;Grill gazowy;47;229,53;20;8630,33;Zwrot
ZAM/2024/02441;2025-06-05;Anna Zieliński;Rzeszów;podkarpackie;Książki;Biografia;23;1514,51;5;33092,04;W trakcie
ZAM/2024/02442;2024-08-20;Anna Kowalski;Kraków;małopolskie;Zabawki;Lalka;47;377,13;0;17725,11;Zwrot
ZAM/2024/02443;2024-07-09;Agnieszka Szymański;Białystok;podlaskie;Elektronika;Słuchawki BT;7;3944,77;10;24852,05;Anulowane
ZAM/2024/02444;2025-01-02;Aleksandra Michalski;Gdańsk;pomorskie;Elektronika;Tablet Mini;6;1821,98;0;10931,88;Zwrot
ZAM/2024/02445;2025-01-23;Krzysztof Szymański;Katowice;śląskie;Spożywcze;Miód;12;1443,07;0;17316,84;Anulowane
ZAM/2024/02446;2024-07-02;Tomasz Kwiatkowski;Białystok;podlaskie;Zabawki;Klocki XXL;7;4480,56;0;31363,92;Zrealizowane
ZAM/2024/02447;2024-12-31;Agnieszka Krawczyk;Białystok;podlaskie;Zabawki;Klocki XXL;25;436,46;15;9274,77;Zwrot
ZAM/2024/02448;2025-04-21;Łukasz Piotrowski;Bydgoszcz;kujawsko-pomorskie;Meble;Fotel biurowy;28;1881,88;5;50058,01;W trakcie
ZAM/2024/02449;2024-09-04;Magdalena Kwiatkowski;Warszawa;mazowieckie;Książki;Atlas świata;33;1089,26;0;35945,58;Zrealizowane
ZAM/2024/02450;2024-11-01;Maria Dąbrowski;Poznań;wielkopolskie;Ogród;Grill gazowy;50;3506,42;20;140256,80;Zrealizowane
ZAM/2024/02451;2024-01-27;Magdalena Nowak;Bydgoszcz;kujawsko-pomorskie;Zabawki;Gra planszowa;15;2282,26;5;32522,20;Zwrot
ZAM/2024/02452;2025-05-31;Aleksandra Kowalski;Warszawa;mazowieckie;Meble;Fotel biurowy;28;3770,57;5;100297,16;Anulowane
ZAM/2024/02453;2025-01-09;Tomasz Grabowski;Bydgoszcz;kujawsko-pomorskie;Spożywcze;Kawa ziarnista;43;4023,43;15;147056,37;W trakcie
ZAM/2024/02454;2024-12-03;Barbara Kowalski;Białystok;podlaskie;Meble;Stół dębowy;32;2094,94;0;67038,08;Zwrot
ZAM/2024/02455;2025-02-24;Barbara Mazur;Wrocław;dolnośląskie;Spożywcze;Oliwa z oliwek;41;1570,07;0;64372,87;Anulowane
ZAM/2024/02456;2025-01-24;Barbara Lewandowski;Warszawa;mazowieckie;Odzież;Koszula bawełna;23;4676,76;20;86052,38;W trakcie
ZAM/2024/02457;2024-10-01;Magdalena Krawczyk;Wrocław;dolnośląskie;Zabawki;Lalka;1;2332,57;5;2215,94;Zwrot
ZAM/2024/02458;2024-11-03;Aleksandra Kwiatkowski;Wrocław;dolnośląskie;Ogród;Parasol;44;2673,31;10;105863,08;Anulowane
ZAM/2024/02459;2024-09-16;Katarzyna Pawłowski;Bydgoszcz;kujawsko-pomorskie;Meble;Fotel biurowy;41;1987,29;0;81478,89;Zwrot
ZAM/2024/02460;2024-07-26;Piotr Piotrowski;Kraków;małopolskie;Odzież;Kurtka zimowa;21;3407,11;0;71549,31;Anulowane
ZAM/2024/02461;2024-11-12;Ewa Lewandowski;Kraków;małopolskie;Meble;Fotel biurowy;33;149,55;0;4935,15;Zwrot
ZAM/2024/02462;2025-04-29;Michał Krawczyk;Katowice;śląskie;Książki;Biografia;7;4998,88;0;34992,16;W trakcie
ZAM/2024/02463;2024-01-19;Robert Kowalski;Kraków;małopolskie;Książki;Biografia;26;952,77;0;24772,02;W trakcie
ZAM/2024/02464;2024-11-21;Barbara Woźniak;Białystok;podlaskie;Ogród;Parasol;3;660,85;0;1982,55;Zwrot
ZAM/2024/02465;2024-05-12;Marcin Pawłowski;Rzeszów;podkarpackie;AGD;Odkurzacz Robot;38;3609,31;0;137153,78;W trakcie
ZAM/2024/02466;2024-11-11;Paweł Dąbrowski;Poznań;wielkopolskie;AGD;Pralka Eko;43;4020,27;15;146940,87;Zwrot
ZAM/2024/02467;2025-05-24;Andrzej Nowicki;Szczecin;zachodniopomorskie;Ogród;Kosiarka;35;3043,42;10;95867,73;W trakcie
ZAM/2024/02468;2025-02-23;Marcin Grabowski;Szczecin;zachodniopomorskie;Spożywcze;Oliwa z oliwek;43;2926,26;5;119537,72;Zrealizowane
ZAM/2024/02469;2024-10-30;Barbara Wójcik;Kraków;małopolskie;Elektronika;Słuchawki BT;18;1614,55;10;26155,71;W trakcie
ZAM/2024/02470;2024-01-08;Łukasz Szymański;Warszawa;mazowieckie;AGD;Odkurzacz Robot;10;2917,54;0;29175,40;W trakcie
ZAM/2024/02471;2024-11-05;Łukasz Mazur;Warszawa;mazowieckie;Spożywcze;Czekolada;18;1957,12;0;35228,16;Zrealizowane
ZAM/2024/02472;2024-12-23;Maria Kowalczyk;Gdańsk;pomorskie;Zabawki;Gra planszowa;49;4289,38;0;210179,62;Zrealizowane
ZAM/2024/02473;2024-08-01;Monika Kowalczyk;Białystok;podlaskie;AGD;Pralka Eko;13;2353,07;0;30589,91;Anulowane
ZAM/2024/02474;2024-10-15;Paweł Zieliński;Katowice;śląskie;Książki;Poradnik kuchnia;24;4271,90;5;97399,32;W trakcie
ZAM/2024/02475;2024-01-08;Piotr Nowicki;Rzeszów;podkarpackie;AGD;Lodówka XL;7;2035,68;0;14249,76;Zrealizowane
ZAM/2024/02476;2025-05-23;Jan Kamiński;Rzeszów;podkarpackie;Meble;Szafa 3D;37;890,64;0;32953,68;W trakcie
ZAM/2024/02477;2024-10-05;Jan Kozłowski;Kraków;małopolskie;Ogród;Parasol;36;3264,08;15;99880,85;Anulowane
ZAM/2024/02478;2025-05-30;Paweł Michalski;Poznań;wielkopolskie;Meble;Fotel biurowy;30;712,83;20;17107,92;Zrealizowane
ZAM/2024/02479;2024-08-10;Andrzej Dąbrowski;Bydgoszcz;kujawsko-pomorskie;Zabawki;Samochód RC;6;1473,26;15;7513,63;Anulowane
ZAM/2024/02480;2024-11-19;Marcin Nowak;Bydgoszcz;kujawsko-pomorskie;Ogród;Donica ceramiczna;36;3602,79;10;116730,40;Zrealizowane
ZAM/2024/02481;2024-08-18;Joanna Pawłowski;Kraków;małopolskie;Spożywcze;Miód;27;168,56;15;3868,45;Zwrot
ZAM/2024/02482;2024-04-11;Aleksandra Wiśniewski;Białystok;podlaskie;Spożywcze;Miód;7;2941,87;5;19563,44;W trakcie
ZAM/2024/02483;2024-01-27;Piotr Zieliński;Kraków;małopolskie;Spożywcze;Herbata zielona;26;622,01;15;13746,42;Zwrot
ZAM/2024/02484;2024-07-31;Agnieszka Nowicki;Warszawa;mazowieckie;Spożywcze;Czekolada;7;527,99;15;3141,54;Zrealizowane
ZAM/2024/02485;2024-06-11;Magdalena Grabowski;Białystok;podlaskie;Książki;Atlas świata;13;1673,40;20;17403,36;Anulowane
ZAM/2024/02486;2025-01-20;Tomasz Szymański;Lublin;lubelskie;Ogród;Wąż ogrodowy;15;2595,40;0;38931,00;Anulowane
ZAM/2024/02487;2024-10-08;Barbara Kozłowski;Łódź;łódzkie;Odzież;Kurtka zimowa;47;2668,85;15;106620,56;Anulowane
ZAM/2024/02488;2024-01-05;Joanna Wiśniewski;Łódź;łódzkie;Meble;Regał;8;4488,24;0;35905,92;Zrealizowane
ZAM/2024/02489;2025-05-21;Ewa Michalski;Szczecin;zachodniopomorskie;Ogród;Parasol;38;2632,38;0;100030,44;Zrealizowane
ZAM/2024/02490;2024-07-10;Maria Mazur;Poznań;wielkopolskie;AGD;Odkurzacz Robot;21;4483,94;20;75330,19;W trakcie
ZAM/2024/02491;2025-03-25;Tomasz Wiśniewski;Katowice;śląskie;Spożywcze;Czekolada;37;2948,26;5;103631,34;Zrealizowane
ZAM/2024/02492;2024-09-07;Joanna Kamiński;Gdańsk;pomorskie;Elektronika;Smartfon X;4;734,88;5;2792,54;W trakcie
ZAM/2024/02493;2025-04-13;Andrzej Kwiatkowski;Warszawa;mazowieckie;Zabawki;Samochód RC;31;4417,52;0;136943,12;Zrealizowane
ZAM/2024/02494;2024-07-30;Krzysztof Woźniak;Białystok;podlaskie;Zabawki;Samochód RC;25;3037,71;10;68348,48;Zwrot
ZAM/2024/02495;2025-04-07;Krzysztof Kozłowski;Łódź;łódzkie;Zabawki;Puzzle 1000;21;4375,01;10;82687,69;Zwrot
ZAM/2024/02496;2025-04-02;Piotr Kwiatkowski;Bydgoszcz;kujawsko-pomorskie;AGD;Czajnik;45;1024,45;0;46100,25;Zrealizowane
ZAM/2024/02497;2025-04-18;Maria Kwiatkowski;Katowice;śląskie;Elektronika;Słuchawki BT;5;166,75;20;667,00;Zwrot
ZAM/2024/02498;2024-02-17;Łukasz Kowalczyk;Lublin;lubelskie;AGD;Czajnik;10;979,38;20;7835,04;Zrealizowane
ZAM/2024/02499;2025-05-10;Anna Kwiatkowski;Rzeszów;podkarpackie;Zabawki;Lalka;43;437,20;0;18799,60;Zwrot
ZAM/2024/02500;2024-06-06;Aleksandra Woźniak;Kraków;małopolskie;AGD;Czajnik;21;150,74;0;3165,54;W trakcie
ZAM/2024/02501;2024-01-27;Robert Woźniak;Lublin;lubelskie;Książki;Atlas świata;16;2143,62;15;29153,23;Zrealizowane
ZAM/2024/02502;2024-08-16;Ewa Grabowski;Rzeszów;podkarpackie;Meble;Komoda;36;1889,70;0;68029,20;Anulowane
ZAM/2024/02503;2024-11-25;Agnieszka Nowak;Wrocław;dolnośląskie;Odzież;Sukienka;50;2222,18;0;111109,00;Zrealizowane
ZAM/2024/02504;2024-03-11;Barbara Szymański;Wrocław;dolnośląskie;Odzież;Sweter;18;4604,07;20;66298,61;W trakcie
ZAM/2024/02505;2025-03-18;Joanna Piotrowski;Poznań;wielkopolskie;Odzież;Koszula bawełna;32;693,36;10;19968,77;W trakcie
ZAM/2024/02506;2025-06-05;Magdalena Zieliński;Szczecin;zachodniopomorskie;Elektronika;Laptop Pro;31;4701,10;5;138447,39;Zwrot
ZAM/2024/02507;2024-05-19;Krzysztof Dąbrowski;Szczecin;zachodniopomorskie;Książki;Powieść kryminał;37;4650,71;10;154868,64;Zwrot
ZAM/2024/02508;2025-02-10;Łukasz Nowicki;Lublin;lubelskie;Elektronika;Tablet Mini;33;4446,15;20;117378,36;Anulowane
ZAM/2024/02509;2024-06-16;Katarzyna Grabowski;Gdańsk;pomorskie;Ogród;Kosiarka;29;2656,02;0;77024,58;Zwrot
ZAM/2024/02510;2025-01-13;Aleksandra Kozłowski;Rzeszów;podkarpackie;Elektronika;Tablet Mini;35;3227,03;20;90356,84;Zrealizowane
ZAM/2024/02511;2025-06-05;Andrzej Kamiński;Lublin;lubelskie;Książki;Album sztuki;16;1249,44;5;18991,49;Zwrot
ZAM/2024/02512;2024-02-26;Krzysztof Michalski;Lublin;lubelskie;Spożywcze;Czekolada;6;2245,36;0;13472,16;Zrealizowane
ZAM/2024/02513;2024-07-30;Ewa Wiśniewski;Bydgoszcz;kujawsko-pomorskie;AGD;Mikrofalówka;32;4360,02;15;118592,54;Zwrot
ZAM/2024/02514;2024-02-23;Marcin Wójcik;Kraków;małopolskie;Książki;Biografia;37;851,59;0;31508,83;Zwrot
ZAM/2024/02515;2025-06-04;Paweł Dąbrowski;Warszawa;mazowieckie;Odzież;Buty sportowe;47;2235,35;20;84049,16;Zrealizowane
ZAM/2024/02516;2024-07-03;Krzysztof Wiśniewski;Lublin;lubelskie;AGD;Odkurzacz Robot;14;1789,64;10;22549,46;Zwrot
ZAM/2024/02517;2024-08-09;Magdalena Piotrowski;Łódź;łódzkie;AGD;Mikrofalówka;28;3087,86;20;69168,06;Anulowane
ZAM/2024/02518;2024-01-20;Paweł Kowalczyk;Bydgoszcz;kujawsko-pomorskie;Meble;Regał;11;2816,71;0;30983,81;W trakcie
ZAM/2024/02519;2024-12-03;Robert Grabowski;Białystok;podlaskie;Książki;Powieść kryminał;49;697,92;0;34198,08;Zrealizowane
ZAM/2024/02520;2024-02-27;Joanna Szymański;Poznań;wielkopolskie;Zabawki;Klocki XXL;28;1255,43;0;35152,04;Anulowane
ZAM/2024/02521;2024-09-23;Michał Krawczyk;Gdańsk;pomorskie;Ogród;Donica ceramiczna;34;4338,34;0;147503,56;Anulowane
ZAM/2024/02522;2024-04-20;Barbara Krawczyk;Katowice;śląskie;Meble;Szafa 3D;1;3676,80;0;3676,80;W trakcie
ZAM/2024/02523;2024-01-04;Robert Lewandowski;Kraków;małopolskie;AGD;Czajnik;21;2823,57;0;59294,97;Zwrot
ZAM/2024/02524;2024-11-13;Michał Kowalski;Katowice;śląskie;Odzież;Kurtka zimowa;47;4202,90;0;197536,30;W trakcie
ZAM/2024/02525;2025-04-06;Tomasz Mazur;Gdańsk;pomorskie;Spożywcze;Czekolada;43;2287,84;5;93458,26;Zrealizowane
ZAM/2024/02526;2024-03-14;Katarzyna Kamiński;Gdańsk;pomorskie;Elektronika;Smartfon X;47;1607,94;0;75573,18;W trakcie
ZAM/2024/02527;2024-05-27;Barbara Szymański;Warszawa;mazowieckie;AGD;Odkurzacz Robot;41;387,60;10;14302,44;W trakcie
ZAM/2024/02528;2024-11-03;Piotr Nowak;Bydgoszcz;kujawsko-pomorskie;Książki;Atlas świata;18;3491,81;0;62852,58;W trakcie
ZAM/2024/02529;2025-03-24;Barbara Nowicki;Łódź;łódzkie;Książki;Atlas świata;24;3238,39;20;62177,09;W trakcie
ZAM/2024/02530;2024-10-08;Anna Nowak;Rzeszów;podkarpackie;Zabawki;Gra planszowa;33;2212,02;0;72996,66;W trakcie
ZAM/2024/02531;2024-08-28;Tomasz Kwiatkowski;Warszawa;mazowieckie;Ogród;Parasol;42;599,50;10;22661,10;Anulowane
ZAM/2024/02532;2025-02-22;Katarzyna Krawczyk;Bydgoszcz;kujawsko-pomorskie;Elektronika;Słuchawki BT;21;555,59;5;11084,02;W trakcie
ZAM/2024/02533;2025-05-04;Piotr Mazur;Gdańsk;pomorskie;AGD;Mikrofalówka;4;1994,12;10;7178,83;Anulowane
ZAM/2024/02534;2024-10-12;Monika Piotrowski;Rzeszów;podkarpackie;Książki;Poradnik kuchnia;16;2706,06;20;34637,57;Zwrot
ZAM/2024/02535;2025-06-22;Tomasz Dąbrowski;Bydgoszcz;kujawsko-pomorskie;Odzież;Kurtka zimowa;3;1727,11;20;4145,06;Anulowane
ZAM/2024/02536;2024-07-04;Maria Dąbrowski;Łódź;łódzkie;AGD;Odkurzacz Robot;29;948,98;20;22016,34;W trakcie
ZAM/2024/02537;2024-09-05;Michał Kamiński;Poznań;wielkopolskie;Elektronika;Słuchawki BT;13;908,01;5;11213,92;Anulowane
ZAM/2024/02538;2024-10-09;Łukasz Woźniak;Łódź;łódzkie;AGD;Odkurzacz Robot;30;2402,61;0;72078,30;Anulowane
ZAM/2024/02539;2024-02-12;Paweł Woźniak;Łódź;łódzkie;Spożywcze;Miód;45;4684,10;20;168627,60;Zrealizowane
ZAM/2024/02540;2024-02-27;Marcin Grabowski;Bydgoszcz;kujawsko-pomorskie;Ogród;Donica ceramiczna;34;342,71;15;9904,32;Zrealizowane
ZAM/2024/02541;2024-06-30;Katarzyna Kamiński;Bydgoszcz;kujawsko-pomorskie;Zabawki;Lalka;35;1928,53;5;64123,62;W trakcie
ZAM/2024/02542;2024-02-14;Katarzyna Kwiatkowski;Gdańsk;pomorskie;Zabawki;Puzzle 1000;16;4064,47;0;65031,52;Zwrot
ZAM/2024/02543;2024-11-02;Magdalena Wiśniewski;Rzeszów;podkarpackie;Książki;Poradnik kuchnia;7;3847,14;10;24236,98;W trakcie
ZAM/2024/02544;2024-02-09;Katarzyna Michalski;Katowice;śląskie;Odzież;Sukienka;18;594,01;15;9088,35;W trakcie
ZAM/2024/02545;2025-04-30;Paweł Szymański;Warszawa;mazowieckie;AGD;Pralka Eko;47;4741,03;15;189404,15;Zwrot
ZAM/2024/02546;2024-02-14;Robert Lewandowski;Białystok;podlaskie;AGD;Lodówka XL;49;4618,87;0;226324,63;W trakcie
ZAM/2024/02547;2024-11-13;Ewa Pawłowski;Katowice;śląskie;Ogród;Donica ceramiczna;6;3987,95;15;20338,54;Zrealizowane
ZAM/2024/02548;2024-01-28;Andrzej Szymański;Łódź;łódzkie;Odzież;Buty sportowe;28;3299,36;0;92382,08;Zwrot
ZAM/2024/02549;2025-02-23;Marcin Kowalczyk;Kraków;małopolskie;Spożywcze;Czekolada;41;1976,47;0;81035,27;Zwrot
ZAM/2024/02550;2024-06-20;Andrzej Piotrowski;Gdańsk;pomorskie;Książki;Album sztuki;43;189,58;15;6929,15;W trakcie
ZAM/2024/02551;2024-04-22;Krzysztof Wiśniewski;Wrocław;dolnośląskie;Elektronika;Tablet Mini;32;2543,70;15;69188,64;Anulowane
ZAM/2024/02552;2024-09-24;Andrzej Wiśniewski;Warszawa;mazowieckie;Meble;Szafa 3D;29;3816,60;10;99613,26;W trakcie
ZAM/2024/02553;2024-01-26;Agnieszka Szymański;Bydgoszcz;kujawsko-pomorskie;Spożywcze;Czekolada;21;2673,72;20;44918,50;Zrealizowane
ZAM/2024/02554;2024-01-02;Aleksandra Szymański;Białystok;podlaskie;Spożywcze;Herbata zielona;33;3752,03;0;123816,99;Zrealizowane
ZAM/2024/02555;2024-04-11;Łukasz Kamiński;Łódź;łódzkie;Spożywcze;Herbata zielona;25;2224,35;5;52828,31;Anulowane
ZAM/2024/02556;2024-02-20;Jan Nowak;Wrocław;dolnośląskie;Meble;Regał;14;1063,62;0;14890,68;Anulowane
ZAM/2024/02557;2025-03-22;Joanna Kamiński;Warszawa;mazowieckie;Zabawki;Puzzle 1000;8;3235,18;5;24587,37;Anulowane
ZAM/2024/02558;2024-07-11;Maria Kozłowski;Rzeszów;podkarpackie;Zabawki;Klocki XXL;36;730,36;0;26292,96;Anulowane
ZAM/2024/02559;2024-06-15;Maria Grabowski;Warszawa;mazowieckie;Meble;Komoda;45;3581,93;20;128949,48;Anulowane
ZAM/2024/02560;2024-01-15;Paweł Nowicki;Szczecin;zachodniopomorskie;Książki;Powieść kryminał;37;532,71;20;15768,22;Zwrot
ZAM/2024/02561;2024-09-01;Ewa Dąbrowski;Rzeszów;podkarpackie;Odzież;Sweter;22;1597,30;5;33383,57;Zrealizowane
ZAM/2024/02562;2025-06-02;Joanna Grabowski;Bydgoszcz;kujawsko-pomorskie;Ogród;Wąż ogrodowy;40;3784,26;0;151370,40;W trakcie
ZAM/2024/02563;2024-08-18;Paweł Piotrowski;Białystok;podlaskie;Meble;Stół dębowy;46;4099,25;0;188565,50;Zrealizowane
ZAM/2024/02564;2024-07-09;Monika Kamiński;Wrocław;dolnośląskie;Meble;Komoda;32;497,21;5;15115,18;Anulowane
ZAM/2024/02565;2024-07-15;Magdalena Piotrowski;Gdańsk;pomorskie;AGD;Mikrofalówka;18;3161,48;0;56906,64;W trakcie
ZAM/2024/02566;2024-06-29;Magdalena Mazur;Rzeszów;podkarpackie;Książki;Poradnik kuchnia;16;278,48;5;4232,90;W trakcie
ZAM/2024/02567;2024-02-29;Piotr Dąbrowski;Katowice;śląskie;Ogród;Kosiarka;33;2541,99;5;79691,39;Anulowane
ZAM/2024/02568;2024-04-06;Joanna Krawczyk;Bydgoszcz;kujawsko-pomorskie;Spożywcze;Herbata zielona;9;1613,02;0;14517,18;W trakcie
ZAM/2024/02569;2024-11-14;Łukasz Pawłowski;Poznań;wielkopolskie;AGD;Pralka Eko;49;3721,80;20;145894,56;Anulowane
ZAM/2024/02570;2024-02-18;Monika Lewandowski;Rzeszów;podkarpackie;Ogród;Kosiarka;30;2239,58;0;67187,40;Zrealizowane
ZAM/2024/02571;2024-07-26;Magdalena Kowalski;Poznań;wielkopolskie;AGD;Odkurzacz Robot;10;2256,88;0;22568,80;Zwrot
ZAM/2024/02572;2024-03-22;Joanna Kowalczyk;Lublin;lubelskie;AGD;Czajnik;12;560,19;15;5713,94;Zrealizowane
ZAM/2024/02573;2024-09-22;Katarzyna Piotrowski;Białystok;podlaskie;Odzież;Buty sportowe;11;1537,62;20;13531,06;Anulowane
ZAM/2024/02574;2025-01-15;Łukasz Zieliński;Szczecin;zachodniopomorskie;AGD;Pralka Eko;32;2547,04;0;81505,28;W trakcie
ZAM/2024/02575;2024-10-20;Anna Kamiński;Lublin;lubelskie;Odzież;Kurtka zimowa;3;3120,18;10;8424,49;Zrealizowane
ZAM/2024/02576;2025-06-09;Maria Mazur;Warszawa;mazowieckie;Elektronika;Monitor 27;31;3915,44;5;115309,71;Zrealizowane
ZAM/2024/02577;2024-01-08;Marcin Wiśniewski;Bydgoszcz;kujawsko-pomorskie;Ogród;Kosiarka;32;2417,34;10;69619,39;W trakcie
ZAM/2024/02578;2024-12-18;Piotr Dąbrowski;Bydgoszcz;kujawsko-pomorskie;Odzież;Buty sportowe;43;501,11;0;21547,73;Zrealizowane
ZAM/2024/02579;2025-01-31;Agnieszka Kowalczyk;Katowice;śląskie;Ogród;Parasol;9;3481,49;5;29766,74;Zwrot
ZAM/2024/02580;2024-11-05;Magdalena Krawczyk;Kraków;małopolskie;Zabawki;Lalka;19;1119,76;0;21275,44;Zrealizowane
ZAM/2024/02581;2025-02-09;Michał Szymański;Katowice;śląskie;Ogród;Grill gazowy;39;4221,06;20;131697,07;Zrealizowane
ZAM/2024/02582;2024-02-13;Andrzej Kwiatkowski;Katowice;śląskie;Odzież;Koszula bawełna;45;330,79;0;14885,55;Zwrot
ZAM/2024/02583;2024-05-29;Maria Nowicki;Białystok;podlaskie;Ogród;Donica ceramiczna;8;3852,68;15;26198,22;W trakcie
ZAM/2024/02584;2025-05-12;Robert Wiśniewski;Łódź;łódzkie;Elektronika;Tablet Mini;4;4195,66;5;15943,51;Anulowane
ZAM/2024/02585;2024-07-23;Katarzyna Dąbrowski;Białystok;podlaskie;Odzież;Kurtka zimowa;1;3732,28;15;3172,44;Zwrot
ZAM/2024/02586;2024-11-15;Andrzej Kamiński;Warszawa;mazowieckie;Zabawki;Samochód RC;8;3476,94;15;23643,19;Zwrot
ZAM/2024/02587;2025-05-16;Łukasz Kowalczyk;Lublin;lubelskie;Spożywcze;Miód;13;1641,11;0;21334,43;Zwrot
ZAM/2024/02588;2024-11-26;Michał Wiśniewski;Katowice;śląskie;Elektronika;Słuchawki BT;39;1589,78;0;62001,42;Zrealizowane
ZAM/2024/02589;2024-04-22;Krzysztof Kwiatkowski;Szczecin;zachodniopomorskie;Elektronika;Monitor 27;32;623,58;5;18956,83;Zwrot
ZAM/2024/02590;2024-08-02;Krzysztof Michalski;Kraków;małopolskie;Elektronika;Monitor 27;1;1947,50;0;1947,50;Zrealizowane
ZAM/2024/02591;2024-06-14;Joanna Grabowski;Katowice;śląskie;Książki;Poradnik kuchnia;37;3675,36;15;115590,07;Zwrot
ZAM/2024/02592;2025-04-10;Aleksandra Grabowski;Poznań;wielkopolskie;Odzież;Sukienka;2;702,37;15;1194,03;Zrealizowane
ZAM/2024/02593;2024-09-17;Jan Zieliński;Rzeszów;podkarpackie;Zabawki;Gra planszowa;40;1304,23;0;52169,20;Zrealizowane
ZAM/2024/02594;2025-03-08;Michał Lewandowski;Poznań;wielkopolskie;Zabawki;Samochód RC;17;1637,12;20;22264,83;Zwrot
ZAM/2024/02595;2024-03-26;Joanna Nowicki;Kraków;małopolskie;Zabawki;Klocki XXL;1;4417,39;0;4417,39;Zwrot
ZAM/2024/02596;2025-06-19;Ewa Szymański;Rzeszów;podkarpackie;AGD;Odkurzacz Robot;25;1035,72;10;23303,70;Zwrot
ZAM/2024/02597;2025-02-24;Piotr Wiśniewski;Warszawa;mazowieckie;Spożywcze;Miód;24;560,14;0;13443,36;W trakcie
ZAM/2024/02598;2025-03-06;Jan Wiśniewski;Bydgoszcz;kujawsko-pomorskie;Meble;Fotel biurowy;21;522,93;0;10981,53;W trakcie
ZAM/2024/02599;2025-04-17;Tomasz Wiśniewski;Gdańsk;pomorskie;Spożywcze;Kawa ziarnista;35;1282,01;0;44870,35;Zrealizowane
ZAM/2024/02600;2024-09-11;Barbara Lewandowski;Gdańsk;pomorskie;Zabawki;Samochód RC;47;2284,65;10;96640,70;Zrealizowane
ZAM/2024/02601;2024-03-21;Barbara Kamiński;Białystok;podlaskie;AGD;Odkurzacz Robot;16;1593,00;15;21664,80;Anulowane
ZAM/2024/02602;2024-03-11;Joanna Michalski;Gdańsk;pomorskie;Odzież;Sukienka;30;2694,09;0;80822,70;Anulowane
ZAM/2024/02603;2025-06-23;Ewa Lewandowski;Bydgoszcz;kujawsko-pomorskie;Meble;Stół dębowy;17;3367,50;0;57247,50;W trakcie
ZAM/2024/02604;2025-02-23;Aleksandra Grabowski;Bydgoszcz;kujawsko-pomorskie;Meble;Komoda;33;4083,43;0;134753,19;W trakcie
ZAM/2024/02605;2024-07-10;Piotr Pawłowski;Łódź;łódzkie;Książki;Album sztuki;14;2099,40;20;23513,28;Zwrot
ZAM/2024/02606;2025-02-22;Andrzej Pawłowski;Gdańsk;pomorskie;Spożywcze;Oliwa z oliwek;43;3067,35;0;131896,05;Zrealizowane
